uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-08-31,67.74233349307639
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-09-30,78.92222707956051
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-10-31,58.53322983422045
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-11-30,54.440294874728934
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-12-31,62.29467880662621
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2025-01-31,45.23119121587301
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2025-02-28,41.13825625638148
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-03-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-03-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-09-30,0.0
