uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-10-31,1076.25
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-11-30,645.75
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-12-31,1506.75
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-01-31,1506.75
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-02-29,1506.75
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-01-31,4431.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-02-28,5139.75
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-03-31,5932.5
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-04-30,6653.85
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-05-31,4578.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-06-30,6300.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-07-31,4331.25
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-08-31,4735.5
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-09-30,5276.25
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-10-31,6898.5
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-11-30,5712.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2023-12-31,3360.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-01-31,6518.4
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-02-29,4526.55
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-01-31,367.5
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-02-28,588.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-03-31,588.0
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-04-30,918.75
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-05-31,929.25
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-06-30,698.25
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-07-31,834.75
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-08-31,700.35
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-09-30,270.9
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-10-31,661.5
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-11-30,485.1
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2023-12-31,412.65000000000003
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-01-31,442.04999999999995
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-02-29,548.0999999999999
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-03-31,105.168
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-04-30,100.3296
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-06-30,0.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-08-31,769.839
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-09-30,1368.6614503
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-10-31,482.18409169999995
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-11-30,507.5238
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2023-12-31,374.98019999999997
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-01-31,710.4825000000001
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-02-29,504.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-07-31,175.245
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-08-31,418.32
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-09-30,0.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-10-31,327.075
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-11-30,479.325
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2023-12-31,419.475
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-01-31,327.075
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-02-29,327.075
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2023-01-31,204.75
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2023-02-28,666.75
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2023-03-31,231.0
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2023-04-30,462.0
